MovieID,Title,Genres,AvgRating,NumRatings,WeightedRating,tmdb_id,imdb_id,poster_url,backdrop_url,overview
318,"Shawshank Redemption, The (1994)",Crime|Drama,4.446990499637029,63366,4.422528820875933,278.0,111161,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,https://image.tmdb.org/t/p/original/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
858,"Godfather, The (1972)",Crime|Drama,4.364732196832306,41355,4.33024556622807,238.0,68646,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.334372207803259,47006,4.3047591408380885,629.0,114814,https://image.tmdb.org/t/p/w500/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
527,Schindler's List (1993),Drama|War,4.310175010988133,50054,4.282949936595064,424.0,108052,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.
1221,"Godfather: Part II, The (1974)",Crime|Drama,4.275640557704942,27398,4.228566281880302,240.0,71562,https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,https://image.tmdb.org/t/p/original/kGzFbGhp99zva6oZODW5atUtnqi.jpg,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba."
912,Casablanca (1942),Drama|Romance,4.258326830670664,24349,4.206570197393636,289.0,34583,https://image.tmdb.org/t/p/w500/lGCEKlJo2CnWydQj7aamY7s1S7Q.jpg,,"Born with a genetic defect, 23-year-old agent Gaia lacks one of the most basic human instincts: fear. She works for an elite Special Investigations Unit (SIU) staffed with the finest young agents to infiltrate and apprehend society's dangerous new class of young criminals. While her partners Ryan and Harmony suspect she has a secret, they have no choice but to trust her. Whether her rare mutation is an important asset or a deadly liability for the unit remains to be seen."
1193,One Flew Over the Cuckoo's Nest (1975),Drama,4.24807897901911,29932,4.206001628868705,510.0,73486,https://image.tmdb.org/t/p/w500/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg,,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward."
904,Rear Window (1954),Mystery|Thriller,4.271333600779414,17449,4.199643177118826,567.0,47396,https://image.tmdb.org/t/p/w500/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
2959,Fight Club (1999),Action|Crime|Drama|Thriller,4.227123123722136,40106,4.196052763492566,550.0,137523,https://image.tmdb.org/t/p/w500/jSziioSwPVrOy9Yow3XhWIBDjq1.jpg,,"This English follows the East End working-class Garnett family, headed by patriarch Alf, a reactionary working-class man who wields racist and anti-Socialist views. His long-suffering wife Else manages to keep things in control... for the most part. Their progressive daughter Rita lives with them, as does her Irish husband Mike, who, with an array of liberal worldviews, often quarrels with his father-in-law. It inspired the American show ""All In The Family"" and several other international variations on the same theme."
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,4.247286821705426,23220,4.193754374287105,935.0,57012,https://image.tmdb.org/t/p/w500/6x7MzQ6BOMlRzam1StcmPO9v61g.jpg,https://image.tmdb.org/t/p/original/7i0L2ee4Iy0aXV6vR5u1ZmblOrx.jpg,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop it."
